"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.10000000000E+009, -1.30949431794E+002, +0.00000000000E+000
+1.10350000000E+009, -1.32074591454E+002, +0.00000000000E+000
+1.10700000000E+009, -1.33593331724E+002, +0.00000000000E+000
+1.11050000000E+009, -1.33784686926E+002, +0.00000000000E+000
+1.11400000000E+009, -1.35290661961E+002, +0.00000000000E+000
+1.11750000000E+009, -1.35444533256E+002, +0.00000000000E+000
+1.12100000000E+009, -1.35921237008E+002, +0.00000000000E+000
+1.12450000000E+009, -1.37225559714E+002, +0.00000000000E+000
+1.12800000000E+009, -1.38893726630E+002, +0.00000000000E+000
+1.13150000000E+009, -1.39343354074E+002, +0.00000000000E+000
+1.13500000000E+009, -1.39868469109E+002, +0.00000000000E+000
+1.13850000000E+009, -1.40456888577E+002, +0.00000000000E+000
+1.14200000000E+009, -1.41499901574E+002, +0.00000000000E+000
+1.14550000000E+009, -1.42249631020E+002, +0.00000000000E+000
+1.14900000000E+009, -1.43099680032E+002, +0.00000000000E+000
+1.15250000000E+009, -1.43859444364E+002, +0.00000000000E+000
+1.15600000000E+009, -1.44776931705E+002, +0.00000000000E+000
+1.15950000000E+009, -1.45822708389E+002, +0.00000000000E+000
+1.16300000000E+009, -1.46649128258E+002, +0.00000000000E+000
+1.16650000000E+009, -1.47361795396E+002, +0.00000000000E+000
+1.17000000000E+009, -1.47795642710E+002, +0.00000000000E+000
+1.17350000000E+009, -1.48754521503E+002, +0.00000000000E+000
+1.17700000000E+009, -1.49640754097E+002, +0.00000000000E+000
+1.18050000000E+009, -1.50560243278E+002, +0.00000000000E+000
+1.18400000000E+009, -1.51235532581E+002, +0.00000000000E+000
+1.18750000000E+009, -1.52471568920E+002, +0.00000000000E+000
+1.19100000000E+009, -1.53832634914E+002, +0.00000000000E+000
+1.19450000000E+009, -1.54994546371E+002, +0.00000000000E+000
+1.19800000000E+009, -1.55857135813E+002, +0.00000000000E+000
+1.20150000000E+009, -1.55997514719E+002, +0.00000000000E+000
+1.20500000000E+009, -1.57939231433E+002, +0.00000000000E+000
+1.20850000000E+009, -1.58097252720E+002, +0.00000000000E+000
+1.21200000000E+009, -1.59327676357E+002, +0.00000000000E+000
+1.21550000000E+009, -1.61034728904E+002, +0.00000000000E+000
+1.21900000000E+009, -1.61489217348E+002, +0.00000000000E+000
+1.22250000000E+009, -1.62786986055E+002, +0.00000000000E+000
