"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.10000000000E+009, -5.30047185461E+000, +0.00000000000E+000
+1.10350000000E+009, -5.31003776970E+000, +0.00000000000E+000
+1.10700000000E+009, -5.29688716259E+000, +0.00000000000E+000
+1.11050000000E+009, -5.33766887511E+000, +0.00000000000E+000
+1.11400000000E+009, -5.34555830709E+000, +0.00000000000E+000
+1.11750000000E+009, -5.40872798698E+000, +0.00000000000E+000
+1.12100000000E+009, -5.44625660660E+000, +0.00000000000E+000
+1.12450000000E+009, -5.46961774904E+000, +0.00000000000E+000
+1.12800000000E+009, -5.52826561080E+000, +0.00000000000E+000
+1.13150000000E+009, -5.58363939266E+000, +0.00000000000E+000
+1.13500000000E+009, -5.65743935434E+000, +0.00000000000E+000
+1.13850000000E+009, -5.69988592476E+000, +0.00000000000E+000
+1.14200000000E+009, -5.73303008256E+000, +0.00000000000E+000
+1.14550000000E+009, -5.84994028107E+000, +0.00000000000E+000
+1.14900000000E+009, -5.93827315873E+000, +0.00000000000E+000
+1.15250000000E+009, -6.00540257083E+000, +0.00000000000E+000
+1.15600000000E+009, -6.13513863483E+000, +0.00000000000E+000
+1.15950000000E+009, -6.21550460816E+000, +0.00000000000E+000
+1.16300000000E+009, -6.29404621007E+000, +0.00000000000E+000
+1.16650000000E+009, -6.43419735148E+000, +0.00000000000E+000
+1.17000000000E+009, -6.51838290441E+000, +0.00000000000E+000
+1.17350000000E+009, -6.64154840753E+000, +0.00000000000E+000
+1.17700000000E+009, -6.73591061018E+000, +0.00000000000E+000
+1.18050000000E+009, -6.85151626440E+000, +0.00000000000E+000
+1.18400000000E+009, -6.95844168143E+000, +0.00000000000E+000
+1.18750000000E+009, -7.06806240211E+000, +0.00000000000E+000
+1.19100000000E+009, -7.20653176255E+000, +0.00000000000E+000
+1.19450000000E+009, -7.30800419908E+000, +0.00000000000E+000
+1.19800000000E+009, -7.40637489586E+000, +0.00000000000E+000
+1.20150000000E+009, -7.51857840016E+000, +0.00000000000E+000
+1.20500000000E+009, -7.59561611133E+000, +0.00000000000E+000
+1.20850000000E+009, -7.66611721696E+000, +0.00000000000E+000
+1.21200000000E+009, -7.74845398938E+000, +0.00000000000E+000
+1.21550000000E+009, -7.81133359554E+000, +0.00000000000E+000
+1.21900000000E+009, -7.83212314462E+000, +0.00000000000E+000
+1.22250000000E+009, -7.88461163877E+000, +0.00000000000E+000
+1.22600000000E+009, -7.92436154242E+000, +0.00000000000E+000
+1.22950000000E+009, -7.90739844232E+000, +0.00000000000E+000
+1.23300000000E+009, -7.91121160289E+000, +0.00000000000E+000
+1.23650000000E+009, -7.92153970019E+000, +0.00000000000E+000
+1.24000000000E+009, -7.91340528721E+000, +0.00000000000E+000
+1.24350000000E+009, -7.89247374122E+000, +0.00000000000E+000
+1.24700000000E+009, -7.88335428932E+000, +0.00000000000E+000
+1.25050000000E+009, -7.85643403268E+000, +0.00000000000E+000
+1.25400000000E+009, -7.80927783298E+000, +0.00000000000E+000
+1.25750000000E+009, -7.77247653382E+000, +0.00000000000E+000
+1.26100000000E+009, -7.75334256921E+000, +0.00000000000E+000
+1.26450000000E+009, -7.72459742985E+000, +0.00000000000E+000
+1.26800000000E+009, -7.66004836360E+000, +0.00000000000E+000
+1.27150000000E+009, -7.65714648556E+000, +0.00000000000E+000
+1.27500000000E+009, -7.62243542258E+000, +0.00000000000E+000
+1.27850000000E+009, -7.57858272144E+000, +0.00000000000E+000
+1.28200000000E+009, -7.56493729939E+000, +0.00000000000E+000
+1.28550000000E+009, -7.56494322151E+000, +0.00000000000E+000
+1.28900000000E+009, -7.52829864582E+000, +0.00000000000E+000
+1.29250000000E+009, -7.53860019559E+000, +0.00000000000E+000
+1.29600000000E+009, -7.49279949138E+000, +0.00000000000E+000
+1.29950000000E+009, -7.50571433609E+000, +0.00000000000E+000
+1.30300000000E+009, -7.53249293824E+000, +0.00000000000E+000
+1.30650000000E+009, -7.54488937573E+000, +0.00000000000E+000
+1.31000000000E+009, -7.57805149893E+000, +0.00000000000E+000
+1.31350000000E+009, -7.61969295437E+000, +0.00000000000E+000
+1.31700000000E+009, -7.62017706691E+000, +0.00000000000E+000
+1.32050000000E+009, -7.68239262053E+000, +0.00000000000E+000
+1.32400000000E+009, -7.72668941403E+000, +0.00000000000E+000
+1.32750000000E+009, -7.81673786553E+000, +0.00000000000E+000
+1.33100000000E+009, -7.86390406552E+000, +0.00000000000E+000
+1.33450000000E+009, -7.93471256658E+000, +0.00000000000E+000
+1.33800000000E+009, -8.00415307612E+000, +0.00000000000E+000
+1.34150000000E+009, -8.15113614797E+000, +0.00000000000E+000
+1.34500000000E+009, -8.20974715800E+000, +0.00000000000E+000
+1.34850000000E+009, -8.34887348787E+000, +0.00000000000E+000
+1.35200000000E+009, -8.42287805863E+000, +0.00000000000E+000
+1.35550000000E+009, -8.57748353522E+000, +0.00000000000E+000
+1.35900000000E+009, -8.70021986586E+000, +0.00000000000E+000
+1.36250000000E+009, -8.86527422713E+000, +0.00000000000E+000
+1.36600000000E+009, -9.00681513630E+000, +0.00000000000E+000
+1.36950000000E+009, -9.15028008751E+000, +0.00000000000E+000
+1.37300000000E+009, -9.33634845336E+000, +0.00000000000E+000
+1.37650000000E+009, -9.48575234572E+000, +0.00000000000E+000
