"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -1.64491462877E+002, +0.00000000000E+000
+1.00500000000E+009, -1.64228673532E+002, +0.00000000000E+000
+1.01000000000E+009, -1.57913109312E+002, +0.00000000000E+000
+1.01500000000E+009, -1.64988167379E+002, +0.00000000000E+000
+1.02000000000E+009, -1.49015054254E+002, +0.00000000000E+000
+1.02500000000E+009, -1.35156793534E+002, +0.00000000000E+000
+1.03000000000E+009, -1.34464964298E+002, +0.00000000000E+000
+1.03500000000E+009, -1.30287725002E+002, +0.00000000000E+000
+1.04000000000E+009, -1.25060028886E+002, +0.00000000000E+000
+1.04500000000E+009, -1.24330363817E+002, +0.00000000000E+000
+1.05000000000E+009, -1.19270786768E+002, +0.00000000000E+000
+1.05500000000E+009, -1.18826941279E+002, +0.00000000000E+000
+1.06000000000E+009, -1.14801573321E+002, +0.00000000000E+000
+1.06500000000E+009, -1.13843757415E+002, +0.00000000000E+000
+1.07000000000E+009, -1.12043038066E+002, +0.00000000000E+000
+1.07500000000E+009, -1.13066467541E+002, +0.00000000000E+000
+1.08000000000E+009, -1.16848089891E+002, +0.00000000000E+000
+1.08500000000E+009, -1.17347075554E+002, +0.00000000000E+000
+1.09000000000E+009, -1.19480404562E+002, +0.00000000000E+000
+1.09500000000E+009, -1.20622936306E+002, +0.00000000000E+000
+1.10000000000E+009, -1.21298061594E+002, +0.00000000000E+000
+1.10500000000E+009, -1.24338065821E+002, +0.00000000000E+000
+1.11000000000E+009, -1.25462861563E+002, +0.00000000000E+000
+1.11500000000E+009, -1.27899440795E+002, +0.00000000000E+000
+1.12000000000E+009, -1.30008003354E+002, +0.00000000000E+000
+1.12500000000E+009, -1.31358464990E+002, +0.00000000000E+000
+1.13000000000E+009, -1.33765232524E+002, +0.00000000000E+000
+1.13500000000E+009, -1.35179195202E+002, +0.00000000000E+000
+1.14000000000E+009, -1.36616212722E+002, +0.00000000000E+000
+1.14500000000E+009, -1.38554596160E+002, +0.00000000000E+000
+1.15000000000E+009, -1.41144674225E+002, +0.00000000000E+000
+1.15500000000E+009, -1.42847633141E+002, +0.00000000000E+000
+1.16000000000E+009, -1.45005883276E+002, +0.00000000000E+000
+1.16500000000E+009, -1.46983208825E+002, +0.00000000000E+000
+1.17000000000E+009, -1.49153701050E+002, +0.00000000000E+000
+1.17500000000E+009, -1.51311251708E+002, +0.00000000000E+000
+1.18000000000E+009, -1.53720367626E+002, +0.00000000000E+000
+1.18500000000E+009, -1.56071964821E+002, +0.00000000000E+000
+1.19000000000E+009, -1.58678727832E+002, +0.00000000000E+000
+1.19500000000E+009, -1.61056310785E+002, +0.00000000000E+000
+1.20000000000E+009, -1.63500203437E+002, +0.00000000000E+000
+1.20500000000E+009, -1.66402677550E+002, +0.00000000000E+000
+1.21000000000E+009, -1.69328780779E+002, +0.00000000000E+000
+1.21500000000E+009, -1.72371864158E+002, +0.00000000000E+000
+1.22000000000E+009, -1.75678808269E+002, +0.00000000000E+000
+1.22500000000E+009, -1.79139840243E+002, +0.00000000000E+000
+1.23000000000E+009, +1.77155055487E+002, +0.00000000000E+000
+1.23500000000E+009, +1.73252585922E+002, +0.00000000000E+000
+1.24000000000E+009, +1.69146304877E+002, +0.00000000000E+000
+1.24500000000E+009, +1.64747689535E+002, +0.00000000000E+000
+1.25000000000E+009, +1.60122754026E+002, +0.00000000000E+000
+1.25500000000E+009, +1.55190696658E+002, +0.00000000000E+000
+1.26000000000E+009, +1.49989770032E+002, +0.00000000000E+000
+1.26500000000E+009, +1.44479555948E+002, +0.00000000000E+000
+1.27000000000E+009, +1.38549905853E+002, +0.00000000000E+000
+1.27500000000E+009, +1.32174898534E+002, +0.00000000000E+000
+1.28000000000E+009, +1.25372561840E+002, +0.00000000000E+000
+1.28500000000E+009, +1.18028568828E+002, +0.00000000000E+000
+1.29000000000E+009, +1.10066016999E+002, +0.00000000000E+000
+1.29500000000E+009, +1.01372658117E+002, +0.00000000000E+000
+1.30000000000E+009, +9.20470655788E+001, +0.00000000000E+000
+1.30500000000E+009, +8.20081752640E+001, +0.00000000000E+000
